"행정구역","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율"
"서울특별시 동대문구 장안제1동(1123065000)","37,492","18,323","          2.05","18,507","18,985","          0.97"
"서울특별시 동대문구 장안제2동(1123066000)","32,582","14,379","          2.27","16,144","16,438","          0.98"
"서울특별시 동대문구 청량리동(1123070500)","18,767","10,108","          1.86","9,273","9,494","          0.98"
"서울특별시 동대문구 회기동(1123071000)","10,444","6,683","          1.56","4,929","5,515","          0.89"
"서울특별시 동대문구 휘경제1동(1123072000)","13,742","7,695","          1.79","6,491","7,251","          0.90"
"서울특별시 동대문구 휘경제2동(1123073000)","24,320","12,719","          1.91","12,111","12,209","          0.99"
"서울특별시 동대문구 이문제1동(1123074000)","17,855","10,759","          1.66","8,824","9,031","          0.98"
"서울특별시 동대문구 이문제2동(1123075000)","19,453","8,690","          2.24","9,346","10,107","          0.92"
"서울특별시 중랑구 (1126000000)","382,390","187,858","          2.04","187,618","194,772","          0.96"
"서울특별시 중랑구 면목제2동(1126052000)","23,697","12,249","          1.93","11,776","11,921","          0.99"
"서울특별시 중랑구 면목제4동(1126054000)","18,231","8,955","          2.04","9,087","9,144","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","14,607","6,427","          2.27","7,281","7,326","          0.99"
"서울특별시 중랑구 면목본동(1126056500)","32,863","17,802","          1.85","16,207","16,656","          0.97"
"서울특별시 중랑구 면목제7동(1126057000)","21,222","10,556","          2.01","10,573","10,649","          0.99"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,505","12,803","          1.91","12,096","12,409","          0.97"
"서울특별시 중랑구 상봉제1동(1126058000)","23,233","10,140","          2.29","11,292","11,941","          0.95"
"서울특별시 중랑구 상봉제2동(1126059000)","20,375","12,590","          1.62","9,740","10,635","          0.92"
"서울특별시 중랑구 중화제1동(1126060000)","18,811","8,934","          2.11","9,262","9,549","          0.97"
"서울특별시 중랑구 중화제2동(1126061000)","23,864","13,457","          1.77","12,220","11,644","          1.05"
"서울특별시 중랑구 묵제1동(1126062000)","33,748","14,945","          2.26","16,102","17,646","          0.91"
"서울특별시 중랑구 묵제2동(1126063000)","18,179","9,217","          1.97","8,864","9,315","          0.95"
"서울특별시 중랑구 망우본동(1126065500)","35,443","17,739","          2.00","17,502","17,941","          0.98"
"서울특별시 중랑구 망우제3동(1126066000)","15,763","8,204","          1.92","7,928","7,835","          1.01"
"서울특별시 중랑구 신내1동(1126068000)","38,032","14,915","          2.55","18,319","19,713","          0.93"
"서울특별시 중랑구 신내2동(1126069000)","19,817","8,925","          2.22","9,369","10,448","          0.90"
"서울특별시 성북구 (1129000000)","426,892","197,271","          2.16","204,851","222,041","          0.92"
"서울특별시 성북구 성북동(1129052500)","15,967","8,130","          1.96","7,423","8,544","          0.87"
"서울특별시 성북구 삼선동(1129055500)","22,221","11,453","          1.94","10,560","11,661","          0.91"
"서울특별시 성북구 동선동(1129057500)","15,043","9,665","          1.56","6,231","8,812","          0.71"
"서울특별시 성북구 돈암제1동(1129058000)","14,293","6,054","          2.36","6,657","7,636","          0.87"
"서울특별시 성북구 돈암제2동(1129059000)","23,449","8,535","          2.75","11,085","12,364","          0.90"
"서울특별시 성북구 안암동(1129060000)","14,985","9,873","          1.52","7,572","7,413","          1.02"
"서울특별시 성북구 보문동(1129061000)","16,219","8,146","          1.99","7,765","8,454","          0.92"
"서울특별시 성북구 정릉제1동(1129062000)","17,819","7,351","          2.42","8,526","9,293","          0.92"
"서울특별시 성북구 정릉제2동(1129063000)","22,592","9,930","          2.28","10,895","11,697","          0.93"
"서울특별시 성북구 정릉제3동(1129064000)","15,017","8,251","          1.82","7,477","7,540","          0.99"
"서울특별시 성북구 정릉제4동(1129065000)","24,136","10,776","          2.24","11,528","12,608","          0.91"
"서울특별시 성북구 길음제1동(1129066000)","34,856","12,496","          2.79","16,464","18,392","          0.90"
